Lat_Start,Lon_Start,Lat_End,Lon_End
47.449001,-122.308998,36.89459991,-76.20120239
36.89459991,-76.20120239,47.449001,-122.308998
25.273056,51.608056,40.63980103,-73.77890015
28.5665,77.103104,25.273056,51.608056
40.69250107,-74.16870117,28.5665,77.103104
36.89459991,-76.20120239,40.69250107,-74.16870117
40.63980103,-73.77890015,36.89459991,-76.20120239
28.5665,77.103104,40.63980103,-73.77890015
17.23131752,78.42985535,28.5665,77.103104
28.5665,77.103104,17.23131752,78.42985535
43.67720032,-79.63059998,28.5665,77.103104
51.148102,-0.190278,43.67720032,-79.63059998
53.421299,-6.27007,53.33359909,-2.849720001
51.148102,-0.190278,53.421299,-6.27007
43.67720032,-79.63059998,51.148102,-0.190278
19.4363,-99.072098,43.67720032,-79.63059998
43.67720032,-79.63059998,19.4363,-99.072098
45.47060013,-73.74079895,43.67720032,-79.63059998
28.5665,77.103104,45.47060013,-73.74079895
26.1542,85.89,28.5665,77.103104
13.1979,77.706299,26.1542,85.89
28.5665,77.103104,13.1979,77.706299
43.67720032,-79.63059998,28.5665,77.103104
25.273056,51.608056,43.67720032,-79.63059998
4.191830158,73.52909851,25.273056,51.608056
13.1979,77.706299,4.191830158,73.52909851
28.5665,77.103104,13.1979,77.706299
13.1979,77.706299,28.5665,77.103104
26.1542,85.89,13.1979,77.706299
13.1979,77.706299,26.1542,85.89
15.38080025,73.83139801,13.1979,77.706299
13.1979,77.706299,15.38080025,73.83139801
28.5665,77.103104,13.1979,77.706299
43.67720032,-79.63059998,28.5665,77.103104
28.5665,77.103104,43.67720032,-79.63059998
24.61770058,73.89610291,28.5665,77.103104
28.5665,77.103104,24.61770058,73.89610291
13.1979,77.706299,28.5665,77.103104
28.5665,77.103104,13.1979,77.706299
43.67720032,-79.63059998,28.5665,77.103104
22.308901,113.915001,43.67720032,-79.63059998
28.5665,77.103104,22.308901,113.915001
13.1979,77.706299,28.5665,77.103104
22.65469933,88.44670105,13.1979,77.706299
28.5665,77.103104,22.65469933,88.44670105
41.275278,28.751944,28.5665,77.103104
43.67720032,-79.63059998,41.275278,28.751944
48.353802,11.7861,43.67720032,-79.63059998
28.5665,77.103104,48.353802,11.7861
13.1979,77.706299,28.5665,77.103104
25.59129906,85.08799744,13.1979,77.706299
13.1979,77.706299,25.59129906,85.08799744
28.5665,77.103104,13.1979,77.706299
55.972599,37.4146,28.5665,77.103104
40.63980103,-73.77890015,55.972599,37.4146
30.19449997,-97.66989899,40.63980103,-73.77890015
32.896801,-97.038002,30.19449997,-97.66989899
40.63980103,-73.77890015,32.896801,-97.038002
22.308901,113.915001,40.63980103,-73.77890015
28.5665,77.103104,22.308901,113.915001
13.1979,77.706299,28.5665,77.103104
28.5665,77.103104,13.1979,77.706299
40.63980103,-73.77890015,28.5665,77.103104
40.69250107,-74.16870117,43.11119843,-76.10630035
42.40919876,-83.00990295,40.69250107,-74.16870117
40.69250107,-74.16870117,42.40919876,-83.00990295
43.11119843,-76.10630035,40.69250107,-74.16870117
51.4706,-0.461941,40.63980103,-73.77890015
28.5665,77.103104,51.4706,-0.461941
13.1979,77.706299,26.8242,75.812202
28.5665,77.103104,13.1979,77.706299
19.08869934,72.86789703,28.5665,77.103104
28.5665,77.103104,19.08869934,72.86789703
51.4706,-0.461941,28.5665,77.103104
40.63980103,-73.77890015,51.4706,-0.461941
40.63980103,-73.77890015,43.11119843,-76.10630035
39.86169815,-104.6729965,40.63980103,-73.77890015
42.36429977,-71.00520325,39.86169815,-104.6729965
43.11119843,-76.10630035,42.36429977,-71.00520325
52.308601,4.76389,43.67720032,-79.63059998
13.1979,77.706299,52.308601,4.76389
52.308601,4.76389,13.1979,77.706299
43.67720032,-79.63059998,52.308601,4.76389
35.2140007,-80.94309998,40.63980103,-73.77890015
30.19449997,-97.66989899,35.2140007,-80.94309998
41.9786,-87.9048,30.19449997,-97.66989899
40.63980103,-73.77890015,41.9786,-87.9048
40.471926,-3.56264,40.63980103,-73.77890015
48.7233333,2.3794444,40.471926,-3.56264
41.2971,2.07846,48.7233333,2.3794444
37.18870163,-3.777359962,41.2971,2.07846
40.63980103,-73.77890015,40.471926,-3.56264
41.9786,-87.9048,43.11119843,-76.10630035
35.76470184,140.3860016,41.9786,-87.9048
41.9786,-87.9048,35.76470184,140.3860016
43.11119843,-76.10630035,41.9786,-87.9048
55.972599,37.4146,40.63980103,-73.77890015
28.5665,77.103104,55.972599,37.4146
55.972599,37.4146,28.5665,77.103104
40.63980103,-73.77890015,55.972599,37.4146
24.43300056,54.65110016,40.63980103,-73.77890015
28.5665,77.103104,24.43300056,54.65110016
13.1979,77.706299,28.5665,77.103104
28.5665,77.103104,13.1979,77.706299
12.99000549,80.16929626,28.5665,77.103104
19.08869934,72.86789703,12.99000549,80.16929626
28.5665,77.103104,19.08869934,72.86789703
25.59129906,85.08799744,28.5665,77.103104
24.43300056,54.65110016,28.5665,77.103104
40.63980103,-73.77890015,24.43300056,54.65110016
39.87189865,-75.2410965,43.11119843,-76.10630035
33.30780029,-111.6549988,39.87189865,-75.2410965
40.78839874,-111.9779968,33.30780029,-111.6549988
32.896801,-97.038002,40.78839874,-111.9779968
39.87189865,-75.2410965,32.96860123,-96.83640289
43.11119843,-76.10630035,39.87189865,-75.2410965
51.4706,-0.461941,43.67720032,-79.63059998
28.5665,77.103104,51.4706,-0.461941
51.4706,-0.461941,28.5665,77.103104
43.67720032,-79.63059998,51.4706,-0.461941
24.43300056,54.65110016,40.63980103,-73.77890015
28.5665,77.103104,24.43300056,54.65110016
19.08869934,72.86789703,26.8242,75.812202
28.5665,77.103104,19.08869934,72.86789703
24.43300056,54.65110016,28.5665,77.103104
40.63980103,-73.77890015,24.43300056,54.65110016
63.98500061,-22.60560036,40.63980103,-73.77890015
51.148102,-0.190278,63.98500061,-22.60560036
37.93640137,23.94449997,48.7233333,2.3794444
50.1008,14.26,37.93640137,23.94449997
38.7813,-9.13592,52.380001,13.5225
51.88499832,0.234999999,41.24810028,-8.681389809
55.95000076,-3.372499943,51.88499832,0.234999999
51.88499832,0.234999999,55.95000076,-3.372499943
63.98500061,-22.60560036,51.148102,-0.190278
40.63980103,-73.77890015,63.98500061,-22.60560036
25.79319954,-80.29060364,40.63980103,-73.77890015
10.59539986,-61.33720016,25.79319954,-80.29060364
40.63980103,-73.77890015,10.59539986,-61.33720016
41.275278,28.751944,40.63980103,-73.77890015
28.5665,77.103104,41.275278,28.751944
41.275278,28.751944,28.5665,77.103104
40.63980103,-73.77890015,41.275278,28.751944
25.79319954,-80.29060364,40.63980103,-73.77890015
40.63980103,-73.77890015,25.79319954,-80.29060364
37.61899948,-122.375,40.63980103,-73.77890015
40.63980103,-73.77890015,37.61899948,-122.375
40.63980103,-73.77890015,43.11119843,-76.10630035
28.5665,77.103104,40.63980103,-73.77890015
22.65469933,88.44670105,28.5665,77.103104
28.5665,77.103104,25.4524,82.859299
49.012798,2.55,28.5665,77.103104
40.471926,-3.56264,49.45439911,2.112780094
41.2971,2.07846,40.471926,-3.56264
49.45439911,2.112780094,41.2971,2.07846
43.65840149,7.215869904,49.012798,2.55
46.23809814,6.108950138,43.65840149,7.215869904
49.012798,2.55,46.23809814,6.108950138
60.31719971,24.9633007,49.012798,2.55
28.5665,77.103104,60.31719971,24.9633007
60.31719971,24.9633007,28.5665,77.103104
49.012798,2.55,60.31719971,24.9633007
41.7994,12.5949,49.45439911,2.112780094
49.45439911,2.112780094,45.673901,9.70417
28.5665,77.103104,49.012798,2.55
13.1979,77.706299,28.5665,77.103104
19.08869934,72.86789703,28.5665,77.103104
